q,30Ｃ,60 C,80 C,100C
0.2223,0.002742,0.0037404,0.0039539,0.0041485
0.22272,0.002326,0.0042134,0.004037,0.0030985
0.22314,0.00414,0.0037413,0.0025296,0.0034341
0.22356,0.003748,0.0047925,0.0040022,0.0039689
0.22397,0.002993,0.0031397,0.0041939,0.0049788
0.22439,0.00289,0.0026323,0.0032386,0.0041386
0.22481,0.002614,0.0032278,0.0039927,0.0051848
0.22523,0.004098,0.0024001,0.0036212,0.0029682
0.22565,0.004114,0.0039614,0.0036465,0.0033311
0.22607,0.003742,0.0046018,0.0036655,0.0045705
0.22648,0.004187,0.0030923,0.003496,0.0042727
0.2269,0.003161,0.0041021,0.0027514,0.0040621
0.22732,0.002783,0.0031225,0.004742,0.004072
0.22774,0.004231,0.0011633,0.0029399,0.0035568
0.22816,0.002824,0.0028152,0.0040426,0.0039833
0.22858,0.003737,0.0029499,0.0041923,0.0048735
0.229,0.003084,0.0032071,0.0039507,0.0037924
