Q,I_obs,err,I_fit,I_fit_over_I_obs
6.880000000000000004e-02,4.668686018618461997e-02,3.599999999999999901e-03,4.982933056769315444e-02,1.067309524970763368e+00
6.959999999999999520e-02,5.127686018618461683e-02,3.559999999999999797e-03,4.925770346516916698e-02,9.606224578945754544e-01
7.040000000000000424e-02,4.069686018618462464e-02,3.589999999999999875e-03,4.869813608512853914e-02,1.196606712712940723e+00
7.119999999999999940e-02,4.456686018618462308e-02,3.700000000000000164e-03,4.814489163566140068e-02,1.080284575456494478e+00
7.199999999999999456e-02,4.402686018618462427e-02,3.619999999999999954e-03,4.759782881776962460e-02,1.081108864372425815e+00
7.280000000000000360e-02,4.092686018618461874e-02,3.670000000000000085e-03,4.707164418079515938e-02,1.150140615885427486e+00
7.359999999999999876e-02,4.045686018618462054e-02,3.650000000000000033e-03,4.655433394249556406e-02,1.150715446731408242e+00
7.439999999999999392e-02,4.029686018618461318e-02,3.589999999999999875e-03,4.604261635684761544e-02,1.142585703802125874e+00
7.520000000000000295e-02,4.270686018618462254e-02,3.599999999999999901e-03,4.553717614061338070e-02,1.066273098562847466e+00
7.599999999999999811e-02,4.476686018618461493e-02,3.640000000000000006e-03,4.505736388503454176e-02,1.006489257849260133e+00
7.679999999999999327e-02,3.977686018618462049e-02,3.609999999999999928e-03,4.458257593385821227e-02,1.120816870038996216e+00
7.760000000000000231e-02,3.806686018618461731e-02,3.629999999999999980e-03,4.411270815359812775e-02,1.158821818711691209e+00
7.839999999999999747e-02,4.080686018618462363e-02,3.670000000000000085e-03,4.364962458810724838e-02,1.069663884674103338e+00
7.920000000000000651e-02,4.772686018618461923e-02,3.710000000000000190e-03,4.321063356481302103e-02,9.053734814367927486e-01
8.000000000000000167e-02,4.417686018618462163e-02,3.860000000000000150e-03,4.277605458625456658e-02,9.682909651336396584e-01
8.079999999999999682e-02,3.328686018618462472e-02,3.930000000000000333e-03,4.234579984835123989e-02,1.272147616551904115e+00
8.160000000000000586e-02,4.044686018618462442e-02,3.959999999999999978e-03,4.191978414230222716e-02,1.036416274324816644e+00
8.240000000000000102e-02,4.669686018618461609e-02,4.000000000000000083e-03,4.151776655511860842e-02,8.890911806400582096e-01
8.319999999999999618e-02,3.632686018618461188e-02,4.150000000000000043e-03,4.112004713533754657e-02,1.131946084098284455e+00
8.400000000000000522e-02,3.959686018618462089e-02,4.069999999999999833e-03,4.072613370138698785e-02,1.028519269201964903e+00
8.480000000000000038e-02,3.621686018618461289e-02,4.259999999999999898e-03,4.033595410024050365e-02,1.113734152902276398e+00
8.559999999999999554e-02,3.703686018618461417e-02,4.250000000000000305e-03,3.996110532169636770e-02,1.078954995666790984e+00
